Entity Name,Classification,Confidence,Split Entities,Explanation
"Mark Gibson, Chairman PGA of Australia",SINGLE,HIGH,,This refers to one person holding a position within a single organization.
"David Smith, CEO of National Rugby League",SINGLE,HIGH,,One person and their title within a single organization.
"Bill Pulver, CEO of Australian Rugby Union",SINGLE,HIGH,,One person and their title within a single organization.
"Mr Guatam Adani, Chairman Adani Group",SINGLE,HIGH,,This is a single individual and their title within their company.
"HE Heraldo Munoz, Chile Foreign Min",SINGLE,HIGH,,This is a single person's title and name.
"Mr Ollanta Humala Tasso, President of the Republic of Peru",SINGLE,HIGH,,This is a single person and their title.
"Mr Francois Hollande, President of France",SINGLE,HIGH,,This is a single person and their title.
Australia and New Zealand Banking Group Limited (ANZ),SINGLE,HIGH,,"ANZ is a single entity, despite the 'and' in its name.  This is a well-known Australian bank."
Andrews and Andrews Consulting Pty Limited,SINGLE,HIGH,,This appears to be a single consulting firm with a common name structure.  The use of 'and' is standard in firm names.
Carlton and United Breweries,SINGLE,HIGH,,"This is a single large brewing company, a common name in Australia. The 'and' is part of the official name."
Australian Israel and Jewish Affairs Council (AIJAC),SINGLE,HIGH,,"AIJAC is a single organization, even though its name includes 'and'."
MEDIA ENTERTAINMENT AND ARTS ALLIANCE,SINGLE,HIGH,,Likely a single organization with a descriptive name.
Hong Kong Economic and Trade Office,SINGLE,HIGH,,This is a single governmental office.
Ass of Professional Engineers Scientists and Managers Aust (APESMA),SINGLE,HIGH,,"APESMA is a single professional association, despite the 'and' in its full name."
Building and Construction Industry Training Fund (Qld) Ltd (BCITF),SINGLE,HIGH,,This is the name of a single organization.
Asian Forum of Parliamentarians on Population and Development (AFPPD),SINGLE,HIGH,,This is a single organization.
Private Mortgage Funding and Management Pty Ltd,SINGLE,HIGH,,This is a single company.
Peel Chamber of Commerce and Industry,SINGLE,HIGH,,This is a single organization.
Rockingham Kwinana Chamber of Commerce and Industry,SINGLE,HIGH,,This is a single organization.
Bendigo and Adelaide Bank,SINGLE,HIGH,,This is a single bank.
BENDIGO AND ADELALDE BANK LTD,SINGLE,HIGH,,This is a single bank (likely a misspelling of 'Adelaide').
PJ+DM Macinante SMSF,SINGLE,HIGH,,This appears to be a single SMSF (Self-Managed Superannuation Fund) with the initials of the individuals involved in the fund's name.
P+D Macinante,SINGLE,HIGH,,"Likely a single entity, possibly a business or partnership using initials."
CM+CJ Pyne Family Trust,SINGLE,HIGH,,This seems to be a single family trust with the initials of individuals involved.
E. C. Truss + Sons,SINGLE,HIGH,,A common business name structure in Australia indicating a family business.
Evans + Partners,SINGLE,HIGH,,This is likely a single financial services firm with a common '&' or '+' style name.
C+ NB Marino,SINGLE,HIGH,,"Likely a single entity, possibly a farm or business using initials."
Hong Kong Economic + Trade office,SINGLE,HIGH,,"This is a single government office, with a descriptive compound name."
Cairns Penny Savings + Loans,SINGLE,HIGH,,This appears to be a single financial institution with a descriptive name.
David + Charlotte Gillespie Family Trust,SINGLE,HIGH,,This is a single family trust; the '+' likely just separates the names of the individuals involved.
Pebema P/L,SINGLE,HIGH,,"P/L is a common abbreviation for 'Pty Ltd' (Proprietary Limited), indicating a single Australian company."
Pebema P/L Superannuation Fund,SINGLE,HIGH,,"Refers to a superannuation fund *associated with* the company Pebema P/L, not two separate entities."
Orange Golf Club t/as Duntryleague,SINGLE,HIGH,,"'t/as' means 'trading as', indicating a single entity operating under a different name."
LLTK P/L,SINGLE,HIGH,,P/L indicates a single Pty Ltd company.
RHT Investment (QLD)P/L,SINGLE,HIGH,,P/L denotes a single Pty Ltd company.
ANZ Investments P/L,SINGLE,HIGH,,P/L indicates a single Pty Ltd company.
Royal Australian and New Zealand of Obstetricians and Gynaecologists,SINGLE,HIGH,,This is a single organization with a complex name encompassing both Australian and New Zealand branches.
"NFP Life, Love and Health Inc",SINGLE,HIGH,,This appears to be the name of a single organization.
Cambridge Bowling and Recreation Club Inc,SINGLE,HIGH,,This is a single club with a compound name.
Australian/Israel and Jewish Affairs Council (AIJAC),SINGLE,HIGH,,This is a single organization with a name reflecting its multi-national focus.
Port Bouvard Pistol and Small Bore Rife Club,SINGLE,HIGH,,This is likely a single club with a descriptive name.
Peel and Districts Gun Club,SINGLE,HIGH,,This appears to be the name of a single gun club.
Department of the Premier and Cabinet (Western Australian Government),SINGLE,HIGH,,This is a single government department.
Parramatta and District Synagogue,SINGLE,HIGH,,This is the name of a single synagogue.
"Union, University and Schools Club",SINGLE,HIGH,,This is the name of a single club.
GDS Business and Investment Pty Ltd ATF The Liu Family Trust,SINGLE,HIGH,,This is a single business entity.
GDS Business and Investment,SINGLE,HIGH,,This appears to be the name of a single business.
St Mary's Football and Netball Club,SINGLE,HIGH,,This is a single club offering both sports.
Wagga Wagga & District Family and History Society Inc.,SINGLE,HIGH,,This is a single society with a descriptive name.
Derwent Valley Field and Game Club,SINGLE,HIGH,,This is a single club with a compound name.
Alannah and Madeline Foundation,SINGLE,HIGH,,This is a single foundation with a name containing two names.
Australian Society of Medical Imaging and Radiotherapy,SINGLE,HIGH,,This is a single professional organization.
Kimba and Districts Football and Netball Club,SINGLE,HIGH,,This is likely a single club.
Patron - Wyndham Track and Field,SINGLE,HIGH,,"This refers to a single organization, 'Wyndham Track and Field'."
"Kelly Partners (Government, Incentives and Innovation)",SINGLE,HIGH,,This is a single firm with areas of specialization listed.
Geelong Indoor Plants and Orchids Club,SINGLE,HIGH,,This appears to be the full name of a single club.
Heritage Golf and Country Club,SINGLE,HIGH,,This is a common naming convention for a single golf club.
Australian Nursing and Midwifery Federation,SINGLE,HIGH,,This is the full name of a single professional organization.
Duldig Gallery (Museum and Art Gallery),SINGLE,HIGH,,This is likely describing the different aspects within a single gallery.
"Raine and Horne Dubai, UAE",SINGLE,HIGH,,This is likely a branch of a real estate agency.
Hornsby and District Chamber of Commerce and Industry,SINGLE,HIGH,,This is the full name of a single chamber of commerce.
Wyndham Track and Field Club,SINGLE,HIGH,,This is the full name of a single sports club.
"Global Fund to fight AIDS, Tuberculosis and Malaria",SINGLE,HIGH,,This is the full name of a single organization.
Taipei Economic and Cultural office in Australia,SINGLE,HIGH,,This is the full name of a single office.
Tapei Economic and Cultural Office,SINGLE,HIGH,,This is the full name of a single office.
COMMUNITY AND PUBLIC SECTOR UNION (CPSU),SINGLE,HIGH,,This is the full name of a single union.
Goulburn And District Education Foundation,SINGLE,HIGH,,This is the full name of a single foundation.
Global Alliance for Vaccines and Immunisation,SINGLE,HIGH,,Full name of a single organization.
Gold Coast Mayor's Arts and Culture Reference Group,SINGLE,HIGH,,A single reference group.
Pastoralists and Graziers Association,SINGLE,HIGH,,This appears to be the full name of a single association.
"Wurtulla, QLD",SINGLE,HIGH,,Wurtulla is a suburb in Queensland.  'QLD' is simply an abbreviation for the state.
"Kelowna, British Columbia, Canada",SINGLE,HIGH,,"Kelowna is a city in British Columbia, Canada. Listing the province and country provides geographical context, not separate entities."
"Gymea Bay, NSW",SINGLE,HIGH,,Gymea Bay is a suburb in NSW. 'NSW' is an abbreviation for the state.
"Hurstville, NSW",SINGLE,HIGH,,Hurstville is a suburb in NSW. 'NSW' is an abbreviation for the state.
"Coffs Harbour, NSW",SINGLE,HIGH,,Coffs Harbour is a city in NSW.  'NSW' is an abbreviation for the state.
"St Lucia, Queensland",SINGLE,HIGH,,St Lucia is a suburb in Queensland. 'Queensland' provides geographical context.
"Auchenflower, Queensland",SINGLE,HIGH,,Auchenflower is a suburb in Queensland. 'Queensland' provides geographical context.
"Hastings Point, NSW",SINGLE,HIGH,,Hastings Point is a town in NSW.  'NSW' is an abbreviation for the state.
"Adelaide, SA",SINGLE,HIGH,,Adelaide is a city in South Australia. 'SA' is an abbreviation for the state.
"Summer Park, Brisbane",SINGLE,HIGH,,Summer Park is a suburb of Brisbane.  'Brisbane' provides location context.
"Hyde Park, Townsville",SINGLE,HIGH,,Hyde Park is a suburb or area within Townsville.  'Townsville' gives location context.
"King Henry Cafe, Sassafras",SINGLE,HIGH,,King Henry Cafe is a business located in Sassafras. 'Sassafras' provides location context.
Women's International League for Peace and Freedom QLD,SINGLE,HIGH,,This is the name of a single organization.
South Australian Department of Health and Ageing,SINGLE,HIGH,,This is a single government department.
Italian Chamber of Commerce and Industry (Queensland),SINGLE,HIGH,,This is a single organization.
Ministry of Foreign Affairs and International Cooperation of the United Arab Emirates,SINGLE,HIGH,,This is a single government ministry.
Parliamentary Friends of Innovation and Enterprise,SINGLE,HIGH,,This is likely a single parliamentary group.
Golden Key International Honour Society (ANU and UC),SINGLE,HIGH,,This appears to be a single society with chapters at ANU and UC.
Bill and Melinda Gates Foundation,SINGLE,HIGH,,This is a single foundation.
Australian Leisure and Hospitality,SINGLE,HIGH,,This is likely a single industry association.
Sydney Cricket and Sports Ground Trust,SINGLE,HIGH,,This is a single trust.
Cairns Penny Savings and Loans,SINGLE,HIGH,,This is likely a single financial institution.
Australia and New Zealand Banking Group Limited,SINGLE,HIGH,,This is the full name of a single bank.
Australian and New Zealand Banking Group,SINGLE,HIGH,,This is a shortened version of the name of a single bank.
Australian Food and Grocery Council,SINGLE,HIGH,,This is a single industry body.
Chartered Institute of Logistics and Transport Australia,SINGLE,HIGH,,This is the full name of a single professional body.
Mr Elliott Charng from the Taipei Economic and Cultural Office,SINGLE,HIGH,,This refers to a single individual within a single office.
Kelly and Partners Opportunities Fund,SINGLE,HIGH,,This appears to be a single investment fund with a compound name.  The context examples support this.
Goulburn and District Education Foundation,SINGLE,HIGH,,This is a single organization with a compound name.
D and S Thwaites,SINGLE,HIGH,,"Likely a single entity with a short, compound name."
Johnson and Johnson,SINGLE,HIGH,,"This is the well-known multinational corporation, a single entity."
Sporting Wheelies and Disabled Association,SINGLE,HIGH,,This is a single organization with a compound name.
Williamstown Swimming and Life Saving Club,SINGLE,HIGH,,This is a single club with a descriptive compound name.
"Australian People for Health, Education and Development Abroad (AKA Union Aid Abroad)",SINGLE,HIGH,,"This is a single organization with a long, descriptive name.  The (AKA) clarifies it's one entity."
Australian Institute of Marine and Power Engineers (AIMPE),SINGLE,HIGH,,This is a single professional organization with a compound name. The abbreviation further confirms this.
The Taipei Economic and Cultural Office,SINGLE,HIGH,,This is a single diplomatic office with a descriptive compound name.
Australia China Healthcare and Nutrition Association (President),SINGLE,HIGH,,This is a single association with a compound name.  '(President)' refers to a role within the association.
Kalamunda and Districts Swimming Club,SINGLE,HIGH,,This is a single swimming club with a compound name.
WA Corruption and Crime Commission,SINGLE,HIGH,,This is a single government agency with a compound name.
Australian and New Zealand College of Anaesthetists,SINGLE,HIGH,,This is a single professional college with a compound name.
Gold Coast Jazz and Blues Club,SINGLE,HIGH,,This is a single club with a compound name.
"Koichi Hagiuda, Minister for Economy, Trade and Industry, Japan",SINGLE,HIGH,,"This refers to a single person and their title, not multiple entities."
"Marina Silva, Minister for the Environment and Climate Change - Brazil",SINGLE,HIGH,,This refers to a single person and their title.
"Murat Kurum, Minister of Environment and Urban Planning of Turkiye",SINGLE,HIGH,,This refers to a single person and their title.
Ngirramanujuwal - The Art and Country of Jimmy Pike,SINGLE,HIGH,,This appears to be the title of a single art exhibit or publication.
Royal National Agricultural and Industrial Association of Queensland,SINGLE,HIGH,,This is a single organization with a compound name.
Superannuation and life insurance - Australian Super,SINGLE,HIGH,,This refers to a single provider offering multiple services.
"The Shop, Distributive and Allied Employees' Association",SINGLE,HIGH,,This is a single organization with a compound name.
Naturopaths and Herbalists Association of Australia,SINGLE,HIGH,,This is a single association with a compound name.
Australian Climate and Biodiversity Foundation,SINGLE,HIGH,,This is a single organization with a compound name.
"Nitkin Gadkarji, Minister for Road Transport and Highways",SINGLE,HIGH,,This is a single person with their title.
Pyne and Partners,SINGLE,HIGH,,"This is likely a single firm with a compound name, common in legal or consulting practices."
Exquisart P/L,SINGLE,HIGH,,P/L is a common suffix in Australian company names indicating 'Proprietary Limited'.
Mortgage/Credit Card Bank of Melbourne,SINGLE,HIGH,,Appears to be a single bank offering both mortgage and credit card services.
Australia/Israel Jewish Affairs Council (AIJAC),SINGLE,HIGH,,This is a single organization with a name reflecting its area of operation.
ANU/Chifley Research Centre,SINGLE,HIGH,,The Chifley Research Centre is likely a part of the ANU (Australian National University).
Australia/Israel Jewish Affairs Council,SINGLE,HIGH,,This is a single organization with a name reflecting its area of operation.
Australian Infrastructure Fund Units/Ordinary Fully Paid,SINGLE,HIGH,,Describes different classes of units within a single fund.
RHT INVESTMENTS P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
LABOUR SERVICES+HOLDINGS P/L,SINGLE,HIGH,,A single entity with a compound name. '+' is sometimes used instead of '&'.
MultiMix W/S Aust Property Trust,SINGLE,HIGH,,Likely a single property trust with a descriptive name.
AGEST Super P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation.  'Super' likely refers to superannuation."
Avanti Investments P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
ANZ Investments P/L.,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation.  'ANZ' likely refers to Australia and New Zealand Banking Group."
East Malvern/Tooronga Cricket Club,SINGLE,HIGH,,Likely a single cricket club with a name incorporating two locations.
Barranco P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
TUP Robb P/L (Ha Armchair),SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation.  The parenthetical is descriptive, not another entity."
Collective Events P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
RAM Consultancy P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
RAM Consultants P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
P/ASX Dividend Opportunities ETF,SINGLE,HIGH,,This is likely a single Exchange Traded Fund (ETF).
CITIBANK US A/c,SINGLE,HIGH,,A/c likely refers to account; this is one bank account.
CITIBANK GREECE A/c,SINGLE,HIGH,,A/c likely refers to account; this is one bank account.
BANK OF CHINA - CHINA A/c,SINGLE,HIGH,,A/c likely refers to account; this is one bank account.
AFSH Nominees P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
GILBERT FRANK INVESTMENTS P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
Bendigo/ Adelaide Bank,SINGLE,HIGH,,This is the formal name of a single Australian bank.
CJC Property Consultants Pty Ltd (t/a Nineteen Consulting),SINGLE,HIGH,,'t/a' means 'trading as'; it's a single company using a different trading name.
CJC Property Consultants PL (t/a Nineteen Consulting),SINGLE,HIGH,,'t/a' means 'trading as'; it's a single company using a different trading name.
Dutton Holdings (Qld) P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
PK Super (Qld) P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
RHT Family Trust (RHT Investments P/L ATF),SINGLE,HIGH,,This appears to be a single family trust with an associated company.
RHT Investments (Qld) P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
PK Super P/L,SINGLE,HIGH,,"P/L denotes 'Proprietary Limited', a common Australian company designation."
VA 812 SYD/MELB,SINGLE,HIGH,,This is a flight number with origin and destination cities.
VA 925 SYD/BRISBANE,SINGLE,HIGH,,This is a flight number with origin and destination cities.
"Takami Yasuhiro, Senior Adviser to Japanese Minister of Defense",SINGLE,HIGH,,"Takami Yasuhiro is a person, and 'Senior Adviser to Japanese Minister of Defense' is his title.  It's a single descriptive unit."
"Various sporting, community, non-profit organisations",SINGLE,HIGH,,"This refers to a category of organizations, not a list of specific entities."
"Rt Hon. Boris Johnson, former UK Prime Minister",SINGLE,HIGH,,This is a single person's name and title.
"Paul Smith, Owner of the Sydney Kings",SINGLE,HIGH,,This is a person's name and their title/description.
"Ambassador of Japan, HE Mr Kazuhiro Suzuki",SINGLE,HIGH,,This is a person's title and name.
Rudy and Julie Limantono of Zion Graphics,SINGLE,HIGH,,This appears to be a single entity; a business likely owned by Rudy and Julie Limantono.
TAIPEI ECONOMIC AND CULTURAL OFFICE,SINGLE,HIGH,,"This is a single entity, despite the 'and'; it is a common naming convention."
Mandurah Offshore Fishing and Sailing Club,SINGLE,HIGH,,A single club with a compound name.
Barwon Heads Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Colac Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Geelong Amateurs Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Grovedale Tigers Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Inverleigh Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Lorne Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Ocean Grove Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Queenscliff Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
South Barwon Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Torquay Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Winchelsea Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Anglesea Football and Netball Club,SINGLE,HIGH,,A single sporting club with a compound name.
Lorne Aquatic and Angling Club,SINGLE,HIGH,,A single club with a compound name.
The Bill and Melinda Gates Foundation,SINGLE,HIGH,,"This is the name of a single, well-known foundation."
The Taipei Economic and Cultural Office in Australia,SINGLE,HIGH,,This is a single entity; the 'and' is part of its official name.
Australia and New Zealand Banking Group (ANZ),SINGLE,HIGH,,This is a single bank with a compound name; ANZ is its common abbreviation.
Victorian Employee Chamber of Commerce and Industry,SINGLE,HIGH,,This is a single organization with a compound name.
BLUEYS CAFÉ AND CARVERY,SINGLE,HIGH,,Likely a single business with a compound name.
Blueys Cafe and Carvery Catering (BCCC),SINGLE,HIGH,,"A single catering business, with '(BCCC)' being an abbreviation."
PARRAMATTA AND DISTRICT SYNAGOGUE,SINGLE,HIGH,,This seems to be a single synagogue with a location specified in its name.
"UNION, UNIVERSITY AND SCHOOLS CLUB",SINGLE,HIGH,,"A single club, likely serving multiple constituencies."
Civmec Construction and Engineering Pty Ltd,SINGLE,HIGH,,A single company with a compound name.
Australian Chamber of Commerce and Industry,SINGLE,HIGH,,A single organization with a compound name.
Australia And New Zealand Banking Group,SINGLE,HIGH,,A single bank with a compound name.
Dennis and Cathy O'Toole,SINGLE,HIGH,,This is a single entity; a couple.
Australian Mining and Metals Association,SINGLE,HIGH,,A single industry association with a compound name.
"Minister for Health and Welfare, South Korea",SINGLE,HIGH,,"While it lists two portfolios, it's a single ministerial position."
Exquisant P/L,SINGLE,HIGH,,"P/L denotes 'Pty Ltd', a common suffix for Australian private companies.  This is a single company name."
Bendigo/Adelaide Bank,SINGLE,HIGH,,"This is the formal name of a single Australian bank, formed by a merger."
Catholic Community Services NSW/ACT,SINGLE,HIGH,,"This is likely a single organization operating across NSW and the ACT, indicated by the '/'."
CEDA SA/NT,SINGLE,HIGH,,Likely a single organization operating in South Australia (SA) and the Northern Territory (NT).
Dutton Holdings (QLD) P/L,SINGLE,HIGH,,"This is a single company name, with (QLD) indicating its location in Queensland."
Bald Hills Child Care P/L,SINGLE,HIGH,,This is a single company name.
Andco Building Services P/L,SINGLE,HIGH,,This is the name of a single Australian company.
Akitio P/L,SINGLE,HIGH,,This appears to be a single company name.
Aust/India Institute,SINGLE,HIGH,,"Likely a single institute, with the '/' indicating a shortened name or abbreviation."
World Vision supporter/contributor,SINGLE,HIGH,,"Describes types of individuals associated with World Vision, not separate entities."
ICAP Buying Company P/L,SINGLE,HIGH,,This is the name of a single Australian company.
BARRANCO P/L,SINGLE,HIGH,,This appears to be a single company.
Mount Vale Holdings P/L,SINGLE,HIGH,,This is the name of a single Australian company.
Mount Vale Holdings P/I,SINGLE,HIGH,,"Likely a typo,  but still refers to a single entity. P/I is not a standard Australian business designation."
TJP Robb Pty Ltd (t/a Armchair),SINGLE,HIGH,,This is a single company trading under a different name ('t/a' means 'trading as').
Körber-Stiftung / Körber Foundation,SINGLE,HIGH,,This is likely a single organization with names in German and English.
Santos P/L,SINGLE,HIGH,,This is a single company.
M.WASHER FAM/TRUST,SINGLE,HIGH,,Likely a single family trust.
M.WASHER FAM/TRUST 2,SINGLE,HIGH,,Likely a second family trust for the same family.
YARRALUMLA/CANBERRA,SINGLE,HIGH,,Likely refers to a single location in Canberra.
KINGSIZE HOLDING P/L,SINGLE,HIGH,,This is the name of a single company.
WASHER ENTERPRISES P/L,SINGLE,HIGH,,This is the name of a single company.
MAL WASHER NOM P./L,SINGLE,HIGH,,This is the name of a single company.
Gilbert Frank Investments P/L,SINGLE,HIGH,,This is a single investment company.
John Alexander's Clubs P/L,SINGLE,HIGH,,This is the name of a single company.
St. Michael NFP Service P/L,SINGLE,HIGH,,This is the name of a single company.
P/ASX 300 HIGH YIELD PLUS ETF UNITS (ZYAU),SINGLE,HIGH,,This appears to be a single ETF product with a descriptive name.  The 'P/' likely refers to a particular product identifier.
DG Lawnton P/L,SINGLE,HIGH,,"This is likely a single entity, a company (P/L denotes Proprietary Limited)."
DG Lawnton Gosford P/L,SINGLE,HIGH,,"Another single entity, a likely branch or subsidiary of DG Lawnton P/L."
Transport Workers' Union of Australia SA/NT Branch Membership,SINGLE,HIGH,,This refers to membership within a single union's SA/NT branch.
RHT Investments (QId) P/L,SINGLE,HIGH,,A single company.
RHT Family Trust (RHT Investments (Qld) P/L ATF),SINGLE,HIGH,,"A single family trust, likely holding investments in RHT Investments (Qld) P/L."
RHT Investment (Qld) P/L,SINGLE,HIGH,,A single company.
Pebema P/L Superfund,SINGLE,HIGH,,Likely a single superannuation fund operated by Pebema P/L.
P/ASX 200 Financial Sector ETF,SINGLE,HIGH,,A single Exchange Traded Fund.
Harvey Water (South West Irrigation T/A),SINGLE,HIGH,,A single entity; 'T/A' means 'Trading As'.
Murrumbeena / East Malvern Community Financial Services Limited,SINGLE,HIGH,,The name suggests a single entity operating in two locations.
Asian Forum Parliamentarians on Population and Development Secretariat,SINGLE,HIGH,,"This appears to be a single organization with a long, compound name."
Department of Communications and the Arts,SINGLE,HIGH,,This is a single Australian government department with a compound name.
United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP),SINGLE,HIGH,,"This is a single UN body with a long, compound name."
Australian/Israel and Jewish Affairs Council,SINGLE,HIGH,,This seems to be a single organization with a compound name.
Tamil Arts and Culture Association,SINGLE,HIGH,,This is a single organization with a compound name.
Italian Chamber of Commerce and Industry in Australia Inc.,SINGLE,HIGH,,This is a single organization with a compound name.
Australia Academy of Heath and Medical Sciences,SINGLE,HIGH,,This appears to be a single organization with a compound name.  Note the misspelling of 'Health'.
Chevron Island Business and Residents Association,SINGLE,HIGH,,This is likely a single organization with a compound name.
Pine Rivers Caboolture and Redcliffe Group Training Scheme Inc (Pricar),SINGLE,HIGH,,"This is likely a single organization with a compound name, using 'and' as part of its formal title."
Rail Tram and Bus Union (RTBU),SINGLE,HIGH,,"This is a single organization with a compound name, likely an abbreviation of Rail, Tram, and Bus Union."
Food and Grocery Council,SINGLE,HIGH,,This is likely a single organization with a compound name.
Bannockburn and District Bowls Club,SINGLE,HIGH,,This appears to be a single organization with a compound name.
Birregurra Football and Netball Club,SINGLE,HIGH,,This is likely a single club with a compound name.
Portarlington Football and Netball Club,SINGLE,HIGH,,This is likely a single club with a compound name.
Veterans Recovery and Restoration Centre Inc.,SINGLE,HIGH,,This is a single organization with a compound name.
Activ Life Physiotherapy and Rehabilitation,SINGLE,HIGH,,This appears to be a single business with a compound name.
Westlakes Access and Support,SINGLE,HIGH,,This is likely a single organization with a compound name.
"RK Singh, Indian Minister for Energy",SINGLE,HIGH,,"This refers to a single individual, RK Singh, who holds the position of Indian Minister for Energy.  The title is descriptive, not a separate entity."
"Tim Walz, Governor of Minnesota",SINGLE,HIGH,,"This refers to a single person, Tim Walz, who is the Governor of Minnesota. The title is descriptive, not a separate entity."
"Taroom, QLD",SINGLE,HIGH,,"Taroom is a town in Queensland. QLD is an abbreviation for Queensland, and the phrase describes a location."
"Wandoan, QLD",SINGLE,HIGH,,"Wandoan is a town in Queensland. QLD is an abbreviation for Queensland, and the phrase describes a location."
"DUGANDAN, QLD",SINGLE,HIGH,,DUGANDAN is a town in Queensland. QLD is an abbreviation for Queensland; the phrase describes a location.
"BARTON, ACT",SINGLE,HIGH,,BARTON is a suburb in the Australian Capital Territory (ACT). The phrase describes a location.
"BLACKWATER, QLD",SINGLE,HIGH,,BLACKWATER is a town in Queensland. QLD is an abbreviation for Queensland; the phrase describes a location.
"WOOLLOONGABBA, QLD",SINGLE,HIGH,,"WOOLLOONGABBA is a suburb of Brisbane, Queensland. QLD is an abbreviation for Queensland; the phrase describes a location."
"Hollywell, Queensland",SINGLE,HIGH,,Hollywell is a suburb in Queensland. The phrase describes a location.
"Coombabah, Queensland",SINGLE,HIGH,,Coombabah is a suburb in Queensland. The phrase describes a location.
"Hampton, Victoria",SINGLE,HIGH,,Hampton is a suburb in Victoria. The phrase describes a location.
"Separation Creek, Victoria",SINGLE,HIGH,,Separation Creek is a town in Victoria. The phrase describes a location.
"Australian Workers Union of Employees, Qld",SINGLE,HIGH,,"This is a single organization, the Australian Workers Union of Employees, with its location specified as Queensland."
"H.E. Mr Phạm Minh Chính, Prime Minister of the Socialist Republic of Vietnam",SINGLE,HIGH,,"This refers to a single individual, H.E. Mr Phạm Minh Chính, and his title."
"Malanda, Queensland",SINGLE,HIGH,,Malanda is a town in Queensland. The phrase describes a location.
"Brinsmead, Queensland",SINGLE,HIGH,,Brinsmead is a suburb in Queensland. The phrase describes a location.
"Mooroobool, Queensland",SINGLE,HIGH,,Mooroobool is a suburb in Queensland. The phrase describes a location.
"Roseville, NSW",SINGLE,HIGH,,Roseville is a suburb in New South Wales (NSW). The phrase describes a location.
"Paddington, NSW",SINGLE,HIGH,,Paddington is a suburb in New South Wales (NSW). The phrase describes a location.
"Lettomanopello, Italy",SINGLE,HIGH,,Lettomanopello is a town in Italy.  The phrase describes a location.
"Wombarra, NSW",SINGLE,HIGH,,Wombarra is a suburb in New South Wales (NSW). The phrase describes a location.
"Newtown, NSW",SINGLE,HIGH,,Newtown is a suburb in New South Wales (NSW). The phrase describes a location.
"GRIFFITH, ACT",SINGLE,HIGH,,Griffith is a suburb in the Australian Capital Territory (ACT). The phrase describes a location.
"Canberra, ACT",SINGLE,HIGH,,"Canberra is the capital city of Australia, located in the Australian Capital Territory (ACT). The phrase describes a location."
"Australian Club, Sydney",SINGLE,HIGH,,The Australian Club is a single organization located in Sydney.
"Newcastle Club, Newcastle",SINGLE,HIGH,,The Newcastle Club is a single organization located in Newcastle.
"Brunswick, VIC",SINGLE,HIGH,,Brunswick is a suburb in Victoria (VIC). The phrase describes a location.
"Hervey Bay, QLD",SINGLE,HIGH,,Hervey Bay is a city in Queensland (QLD). The phrase describes a location.
"Harmers Haven, VIC",SINGLE,HIGH,,Harmers Haven appears to be a location within Victoria (VIC). The phrase describes a location.
"Melbourne, VIC",SINGLE,HIGH,,Melbourne is a city in Victoria (VIC). The phrase describes a location.
"MR MAX LIONDOS, LIONDOS TAILORS, SYDNEY",SINGLE,HIGH,,"This appears to be a single business, Liondos Tailors, with the owner's name and location specified."
"Vladimir Yakunin, President of Russian Railways",SINGLE,HIGH,,"This refers to a single person, Vladimir Yakunin, in his role as President of Russian Railways."
"Ministry of Economy, United Arab Emirates",SINGLE,HIGH,,"This refers to a single entity, the Ministry of Economy within the United Arab Emirates."
"Chen Yuming, Chinese Embassy in Australia",SINGLE,HIGH,,"This refers to a single person, Chen Yuming, working at the Chinese Embassy in Australia. "
